source,target
2582561810,1686065478
2582561810,2159667899
2582561810,2132490153
2582561810,2136621417
2582561810,2303924600
2582561810,2166119588
2582561810,2103146267
2582561810,2162068143
2582561810,2137029365
2582561810,2106605967
2582561810,2102968466
2582561810,2002000693
2582561810,1479775167
2582561810,1428768901
2582561810,2136753600
2582561810,2055085572
2582561810,2323316584
2582561810,2094291381
2582561810,1547941765
2582561810,2109790075
2582561810,2156209548
2582561810,2238416173
2582561810,1559877068
2582561810,2337241778
2582561810,1999215716
2582561810,2308341436
2582561810,2141598607
2582561810,2102621440
2582561810,2110084419
2582561810,2129912544
2582561810,1505155904
2582561810,2098191910
2126620275,2058670403
2116926372,1481908410
2116926372,2011744324
2116926372,2163984563
2116926372,2150943872
2116926372,2128082596
2116926372,2132553681
2116926372,2132490153
2116926372,1969787028
2116926372,2264742718
2116926372,2013974666
2116926372,2059944506
2116926372,1933689484
2116926372,1991032455
2116926372,2048803507
2116926372,2058685418
2116926372,1996173996
2116926372,1966156330
2116926372,1971332585
2116926372,1498743172
2116926372,1539896512
2116926372,2059052306
2116926372,2043005301
2116926372,2128498260
2116926372,2063214785
2116926372,2121451734
2116926372,2031645580
2116926372,2073166664
2116926372,2064730034
2116926372,2091972293
2116926372,2055085572
2116926372,2153920784
2116926372,2067684313
2116926372,2130316596
2116926372,2133523364
2116926372,2101183980
2116926372,1977614311
2116926372,1506738637
2116926372,2135568665
2116926372,2065710950
2116926372,2160871514
2116926372,2034637247
2116926372,1531042714
2116926372,2035370986
2116926372,2058624789
2116926372,2028211630
2116926372,1966114254
2116926372,2041029272
2116926372,2145309624
2116926372,2134599899
2116926372,2049346469
2116926372,1971470082
2116926372,2111627794
2116926372,2103678167
2116926372,2139114136
2116926372,2116615923
2116926372,2001644739
2116926372,2024415362
2116926372,2104258967
2116926372,2001185702
2116926372,2041318199
2116926372,2159251310
2116926372,1606392553
2116926372,383130425
2116926372,2153874866
2116926372,2093777421
2116926372,2049137078
2116926372,2146928640
2116926372,2050734380
2116926372,2111558468
2116926372,2000896298
2116926372,2097093880
2116926372,1964916112
2116926372,1533249100
2116926372,2096747802
2116926372,2010135825
2116926372,2128155832
2116926372,2018068392
2116926372,1530485991
2116926372,2487519669
2116926372,2163421949
2116926372,1990449066
2116926372,2785414761
2116926372,1984737313
2116926372,1683525456
2116926372,2047471858
2116926372,2060847184
2116926372,2157300266
2116926372,2100864706
2116926372,1146128488
2116926372,2112616496
2116926372,2011464227
2116926372,1966021098
2116926372,2009299943
2116926372,1997324897
2116926372,2034566782
2116926372,2083089771
2116926372,2051483865
2116926372,2143630650
2116926372,1969119488
2116926372,2168969279
2116926372,1997098600
2116926372,2032300664
2116926372,2148177037
2116926372,2141306428
2116926372,2109771765
2116926372,2153946072
2116926372,2151679033
2116926372,2036993454
2116926372,1983179805
2116926372,1969132838
2116926372,2135614762
2116926372,2135600606
2116926372,2064447681
2116926372,2018035758
2116926372,2019089200
2116926372,2892990283
2116926372,2135447372
2116926372,1892208143
2116926372,2103414953
2116926372,2536766924
2116926372,2159970882
2116926372,2159644410
2116926372,2153207097
2116926372,2012975501
2116926372,2045300390
2116926372,2108315600
2116926372,2107948734
2116926372,2056459686
2116926372,65563293
2116926372,2011145895
2116926372,1999489778
2116926372,2114187538
2116926372,2106268407
2116926372,2121522426
2116926372,2027785310
2116926372,1976225889
2116926372,118542666
2116926372,1758467489
2116926372,2082291493
2116926372,1967434382
2116926372,2153600537
2116926372,2041839973
2116926372,52579478
2116926372,1993384506
2116926372,2473692842
2116926372,2072378177
2116926372,2121715118
2116926372,2022026645
2116926372,2125636890
2116926372,2081267828
2116926372,1976354401
2116926372,2009038278
2116926372,2114730240
2116926372,2249642518
2116926372,2039108966
2116926372,577226957
2116926372,2069605702
2116926372,2151070098
2116926372,2034532433
2116926372,2154944931
2116926372,2361894570
